dataset,condition,n,prompt_tokens_total,prompt_tokens_mean,prompt_tokens_max,response_tokens_total,response_tokens_mean,response_tokens_max
aegis,label_only,97,1173530,12098.247422680412,49870,16955,174.79381443298968,922
aegis,own_taxonomy,97,1263863,13029.515463917525,50862,16630,171.44329896907217,392
aegis,foreign_taxonomy,97,1337001,13783.515463917525,51616,16354,168.5979381443299,315
aegis,merged_taxonomy,97,1319444,13602.515463917525,51435,16060,165.56701030927834,481
whowhen,label_only,500,1886001,3772.002,22901,85525,171.05,559
whowhen,own_taxonomy,500,2780060,5560.12,24647,89095,178.19,1799
whowhen,foreign_taxonomy,500,2392153,4784.306,23893,83799,167.598,871
whowhen,merged_taxonomy,500,2668501,5337.002,24466,85409,170.818,530
