dataset,contrast,n,difference,difference_percentage_points,bootstrap_resamples,bootstrap_seed,paired_ci_95_low,paired_ci_95_high,paired_ci_95_low_percentage_points,paired_ci_95_high_percentage_points
aegis,own_taxonomy_minus_label_only,97,0.010309278350515455,1.0309278350515454,20000,7442772239629894490,-0.05154639175257732,0.07216494845360824,-5.154639175257731,7.216494845360824
aegis,foreign_taxonomy_minus_label_only,97,-0.030927835051546393,-3.0927835051546393,20000,16437308740199254160,-0.08247422680412371,0.010309278350515464,-8.24742268041237,1.0309278350515463
aegis,merged_taxonomy_minus_label_only,97,0.030927835051546393,3.0927835051546393,20000,1842566819349431296,-0.020618556701030927,0.08247422680412371,-2.0618556701030926,8.24742268041237
aegis,merged_taxonomy_minus_foreign_taxonomy,97,0.061855670103092786,6.185567010309279,20000,14025548196032565416,0.010309278350515464,0.12371134020618557,1.0309278350515463,12.371134020618557
whowhen,own_taxonomy_minus_label_only,500,0.008000000000000007,0.8000000000000007,20000,1076915157410266030,-0.022,0.038,-2.1999999999999997,3.8
whowhen,foreign_taxonomy_minus_label_only,500,-0.01999999999999999,-1.9999999999999991,20000,702510625627659746,-0.044,0.004,-4.3999999999999995,0.4
whowhen,merged_taxonomy_minus_label_only,500,-0.010000000000000009,-1.0000000000000009,20000,4725666301210692693,-0.034,0.014,-3.4000000000000004,1.4000000000000001
whowhen,merged_taxonomy_minus_foreign_taxonomy,500,0.009999999999999981,0.9999999999999981,20000,1821907652576971174,-0.014,0.034,-1.4000000000000001,3.4000000000000004
