dataset,contrast,condition_a,condition_b,n,condition_a_accuracy,condition_b_accuracy,difference,difference_percentage_points,incorrect_to_correct,correct_to_incorrect,both_correct,both_incorrect,mcnemar_exact_two_sided_p,bootstrap_resamples,bootstrap_seed,paired_ci_95_low,paired_ci_95_high,paired_ci_95_low_percentage_points,paired_ci_95_high_percentage_points,holm_adjusted_p,holm_reject_alpha_0_05
aegis,own_taxonomy_minus_label_only,own_taxonomy,label_only,97,0.20618556701030927,0.1958762886597938,0.010309278350515455,1.0309278350515454,5,4,15,73,1.0,20000,7442772239629894490,-0.05154639175257732,0.07216494845360824,-5.154639175257731,7.216494845360824,1.0,False
aegis,foreign_taxonomy_minus_label_only,foreign_taxonomy,label_only,97,0.16494845360824742,0.1958762886597938,-0.030927835051546393,-3.0927835051546393,1,4,15,77,0.375,20000,16437308740199254160,-0.08247422680412371,0.010309278350515464,-8.24742268041237,1.0309278350515463,1.0,False
aegis,merged_taxonomy_minus_label_only,merged_taxonomy,label_only,97,0.2268041237113402,0.1958762886597938,0.030927835051546393,3.0927835051546393,5,2,17,73,0.453125,20000,1842566819349431296,-0.020618556701030927,0.08247422680412371,-2.0618556701030926,8.24742268041237,1.0,False
aegis,merged_taxonomy_minus_foreign_taxonomy,merged_taxonomy,foreign_taxonomy,97,0.2268041237113402,0.16494845360824742,0.061855670103092786,6.185567010309279,7,1,15,74,0.0703125,20000,14025548196032565416,0.010309278350515464,0.12371134020618557,1.0309278350515463,12.371134020618557,0.5625,False
whowhen,own_taxonomy_minus_label_only,own_taxonomy,label_only,500,0.23,0.222,0.008000000000000007,0.8000000000000007,32,28,83,357,0.6988834276200057,20000,1076915157410266030,-0.022,0.038,-2.1999999999999997,3.8,1.0,False
whowhen,foreign_taxonomy_minus_label_only,foreign_taxonomy,label_only,500,0.202,0.222,-0.01999999999999999,-1.9999999999999991,13,23,88,376,0.13249816396273673,20000,702510625627659746,-0.044,0.004,-4.3999999999999995,0.4,0.9274871477391571,False
whowhen,merged_taxonomy_minus_label_only,merged_taxonomy,label_only,500,0.212,0.222,-0.010000000000000009,-1.0000000000000009,18,23,88,371,0.5327092552361137,20000,4725666301210692693,-0.034,0.014,-3.4000000000000004,1.4000000000000001,1.0,False
whowhen,merged_taxonomy_minus_foreign_taxonomy,merged_taxonomy,foreign_taxonomy,500,0.212,0.202,0.009999999999999981,0.9999999999999981,21,16,85,378,0.5113757815852296,20000,1821907652576971174,-0.014,0.034,-1.4000000000000001,3.4000000000000004,1.0,False
