dataset,condition,category,support,predicted_count,true_positive,false_positive,false_negative,precision,recall,f1
whowhen,own_taxonomy,R.2,71,220,40,180,31,0.18181818181818182,0.5633802816901409,0.27491408934707906
whowhen,own_taxonomy,R.3,49,15,7,8,42,0.4666666666666667,0.14285714285714285,0.21874999999999997
whowhen,own_taxonomy,R.4,79,125,30,95,49,0.24,0.379746835443038,0.29411764705882354
whowhen,own_taxonomy,V.1,6,1,0,1,6,0.0,0.0,0.0
whowhen,own_taxonomy,V.2,33,45,9,36,24,0.2,0.2727272727272727,0.23076923076923075
whowhen,own_taxonomy,C.1,1,0,0,0,1,0.0,0.0,0.0
whowhen,own_taxonomy,C.2,1,0,0,0,1,0.0,0.0,0.0
whowhen,own_taxonomy,C.3,45,1,1,0,44,1.0,0.022222222222222223,0.04347826086956522
whowhen,own_taxonomy,PL.1,3,0,0,0,3,0.0,0.0,0.0
whowhen,foreign_taxonomy,A.1,2,11,0,11,2,0.0,0.0,0.0
whowhen,foreign_taxonomy,A.2,23,13,2,11,21,0.15384615384615385,0.08695652173913043,0.1111111111111111
whowhen,foreign_taxonomy,A.3,141,11,2,9,139,0.18181818181818182,0.014184397163120567,0.026315789473684213
whowhen,foreign_taxonomy,A.4,3,17,3,14,0,0.17647058823529413,1.0,0.3
whowhen,foreign_taxonomy,R.1,43,37,17,20,26,0.4594594594594595,0.3953488372093023,0.425
whowhen,foreign_taxonomy,R.2,71,251,47,204,24,0.18725099601593626,0.6619718309859155,0.2919254658385093
whowhen,foreign_taxonomy,R.3,49,17,5,12,44,0.29411764705882354,0.10204081632653061,0.15151515151515152
whowhen,foreign_taxonomy,R.4,79,107,19,88,60,0.17757009345794392,0.24050632911392406,0.20430107526881722
whowhen,foreign_taxonomy,V.1,6,1,0,1,6,0.0,0.0,0.0
whowhen,foreign_taxonomy,V.2,33,35,6,29,27,0.17142857142857143,0.18181818181818182,0.1764705882352941
whowhen,foreign_taxonomy,C.1,1,0,0,0,1,0.0,0.0,0.0
whowhen,foreign_taxonomy,C.2,1,0,0,0,1,0.0,0.0,0.0
whowhen,foreign_taxonomy,C.3,45,0,0,0,45,0.0,0.0,0.0
whowhen,foreign_taxonomy,PL.1,3,0,0,0,3,0.0,0.0,0.0
whowhen,merged_taxonomy,A.1,2,7,0,7,2,0.0,0.0,0.0
whowhen,merged_taxonomy,A.2,23,19,5,14,18,0.2631578947368421,0.21739130434782608,0.23809523809523808
whowhen,merged_taxonomy,A.3,141,10,1,9,140,0.1,0.0070921985815602835,0.013245033112582781
whowhen,merged_taxonomy,A.4,3,17,3,14,0,0.17647058823529413,1.0,0.3
whowhen,merged_taxonomy,R.1,43,34,17,17,26,0.5,0.3953488372093023,0.44155844155844154
whowhen,merged_taxonomy,R.2,71,297,47,250,24,0.15824915824915825,0.6619718309859155,0.2554347826086956
whowhen,merged_taxonomy,R.3,49,18,8,10,41,0.4444444444444444,0.16326530612244897,0.23880597014925373
whowhen,merged_taxonomy,R.4,79,59,16,43,63,0.2711864406779661,0.20253164556962025,0.23188405797101447
whowhen,merged_taxonomy,V.1,6,1,0,1,6,0.0,0.0,0.0
whowhen,merged_taxonomy,V.2,33,38,9,29,24,0.23684210526315788,0.2727272727272727,0.2535211267605634
whowhen,merged_taxonomy,C.1,1,0,0,0,1,0.0,0.0,0.0
whowhen,merged_taxonomy,C.2,1,0,0,0,1,0.0,0.0,0.0
whowhen,merged_taxonomy,C.3,45,0,0,0,45,0.0,0.0,0.0
whowhen,merged_taxonomy,PL.1,3,0,0,0,3,0.0,0.0,0.0
